topic,crops,parameter,fact_type,statement,value,min_value,max_value,unit,condition,action,evidence_quote,confidence,source_file,source_name,page_start,page_end,section,chunk_id,relevance_score,provenance,knowledge_text,fact_id
ace_soil_protein_index,,ace soil protein index,acceptable_range,Soils with low ACE soil protein index require management interventions.,,,,None,ACE soil protein index,"add N-rich organic matter; incorporate young, green, cover crop biomass; plant legumes and grass-legume mixtures; inoculate legume seed with Rhizobia & check for nodulation","ACE Soil Protein Index Low | • Add N-rich organic matter (low C:N source like manure, high N well-finished compost) • Incorporate young, green, cover crop biomass • Plant legumes and grass-legume mixtures • Inoculate legume seed with Rhizobia & check for nodulation",0.98,/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf,manual.pdf,129,129,,4c79ae23bbe06753b0b973c4e36df34c6271389f,0.6026,"[{""source_name"": ""manual.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf"", ""page_start"": 129, ""page_end"": 129, ""chunk_id"": ""4c79ae23bbe06753b0b973c4e36df34c6271389f"", ""evidence_quote"": ""ACE Soil Protein Index Low | • Add N-rich organic matter (low C:N source like manure, high N well-finished compost) • Incorporate young, green, cover crop biomass • Plant legumes and grass-legume mixtures • Inoculate legume seed with Rhizobia & check for nodulation""}]","Parameter: ace soil protein index
Fact: Soils with low ACE soil protein index require management interventions.
Condition: ACE soil protein index
Recommended action: add N-rich organic matter; incorporate young, green, cover crop biomass; plant legumes and grass-legume mixtures; inoculate legume seed with Rhizobia & check for nodulation",528855ff41efc3bd1a3277fa470642dfc07a33b1
active_carbon,,active carbon,acceptable_range,Soils with low active carbon require management interventions.,,,,None,active carbon,"add fresh organic materials; use shallow-rooted cover/rotation crops; add manure, green manure, mulch","Active Carbon Low | • Add fresh organic materials • Use shallow-rooted cover/rotation crops • Add manure, green manure, mulch",0.98,/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf,manual.pdf,129,129,,4c79ae23bbe06753b0b973c4e36df34c6271389f,0.6026,"[{""source_name"": ""manual.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf"", ""page_start"": 129, ""page_end"": 129, ""chunk_id"": ""4c79ae23bbe06753b0b973c4e36df34c6271389f"", ""evidence_quote"": ""Active Carbon Low | • Add fresh organic materials • Use shallow-rooted cover/rotation crops • Add manure, green manure, mulch""}]","Parameter: active carbon
Fact: Soils with low active carbon require management interventions.
Condition: active carbon
Recommended action: add fresh organic materials; use shallow-rooted cover/rotation crops; add manure, green manure, mulch",74a321e9c16e625b0e6976591981963247eca858
aggregate_stability,,aggregate stability,acceptable_range,Soils with low aggregate stability require management interventions.,,,,None,aggregate stability,"incorporate fresh organic materials; use shallow-rooted cover/rotation crops; add manure, green manure, mulch","Aggregate Stability Low | • Incorporate fresh organic materials • Use shallow-rooted cover/rotation crops • Add manure, green manure, mulch",0.98,/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf,manual.pdf,129,129,,4c79ae23bbe06753b0b973c4e36df34c6271389f,0.6026,"[{""source_name"": ""manual.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf"", ""page_start"": 129, ""page_end"": 129, ""chunk_id"": ""4c79ae23bbe06753b0b973c4e36df34c6271389f"", ""evidence_quote"": ""Aggregate Stability Low | • Incorporate fresh organic materials • Use shallow-rooted cover/rotation crops • Add manure, green manure, mulch""}]","Parameter: aggregate stability
Fact: Soils with low aggregate stability require management interventions.
Condition: aggregate stability
Recommended action: incorporate fresh organic materials; use shallow-rooted cover/rotation crops; add manure, green manure, mulch",1e655929cf1ab69e83917f5ce3c4d1c865c5a13c
agroforestry,,alley cropping transition,management_action,"Landowners may initially use an alley cropping system where annual crops are grown between young trees, which is then transitioned into silvopasture, forest forming or an orchard.",,,,None,transitional systems,"Use alley cropping system with annual crops between young trees, then transition into silvopasture, forest forming or an orchard.","landowners may initially use an alley cropping system where annual crops are grown between young trees, which is then transitioned into silvopasture, forest forming or an orchard.",0.98,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,189,189,,d10eea3d1a5791095fc708959df3c031b739e11f,0.6602,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 189, ""page_end"": 189, ""chunk_id"": ""d10eea3d1a5791095fc708959df3c031b739e11f"", ""evidence_quote"": ""landowners may initially use an alley cropping system where annual crops are grown between young trees, which is then transitioned into silvopasture, forest forming or an orchard.""}]","Parameter: alley cropping transition
Fact: Landowners may initially use an alley cropping system where annual crops are grown between young trees, which is then transitioned into silvopasture, forest forming or an orchard.
Condition: transitional systems
Recommended action: Use alley cropping system with annual crops between young trees, then transition into silvopasture, forest forming or an orchard.",c7164fd13e8ccf196dc2479174f56a2f77cca4da
available_water_capacity,,available water capacity,acceptable_range,Soils with low available water capacity require management interventions.,,,,None,available water capacity,"add stable organic materials, mulch; add compost or biochar; incorporate high biomass cover crop","Available Water Capacity Low | • Add stable organic materials, mulch • Add compost or biochar • Incorporate high biomass cover crop",0.98,/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf,manual.pdf,129,129,,4c79ae23bbe06753b0b973c4e36df34c6271389f,0.6026,"[{""source_name"": ""manual.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/manual.pdf"", ""page_start"": 129, ""page_end"": 129, ""chunk_id"": ""4c79ae23bbe06753b0b973c4e36df34c6271389f"", ""evidence_quote"": ""Available Water Capacity Low | • Add stable organic materials, mulch • Add compost or biochar • Incorporate high biomass cover crop""}]","Parameter: available water capacity
Fact: Soils with low available water capacity require management interventions.
Condition: available water capacity
Recommended action: add stable organic materials, mulch; add compost or biochar; incorporate high biomass cover crop",ee243d31f10b1fb9fd6a0410e3e3c1d3f3d0d786
beneficial_organisms,cover crops,beneficial organisms,cause_effect,Diverse cover crop mixes promoted beneficial organisms on Brown's Ranch.,,,,None,Brown's Ranch after transition to cover crops,None,"promoted beneficials,",0.97,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,172,172,,3aac4d07a593fa0fa13c882e09329a28ace7ba84,0.4929,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 172, ""page_end"": 172, ""chunk_id"": ""3aac4d07a593fa0fa13c882e09329a28ace7ba84"", ""evidence_quote"": ""promoted beneficials,""}]","Crop: cover crops
Parameter: beneficial organisms
Fact: Diverse cover crop mixes promoted beneficial organisms on Brown's Ranch.
Condition: Brown's Ranch after transition to cover crops
Recommended action: None",14bea8bf973b937d12cab825d5532cd4f8b848ed
carbon_cycle,,carbon cycling,definition,"Carbon flows are different from the cycling that occurs when nutrients such as nitrogen, phosphorus, potassium and calcium are taken up from soil by plants, used and then returned to soil.",,,,None,None,None,"Carbon flows are different from the cycling that occurs when nutrients such as nitrogen, phosphorus, potassium and calcium are taken up from soil by plants, used and then returned to soil.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,108,108,,01414b79f27d6f12e8dccaa251625c1133916854,0.5819,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 108, ""page_end"": 108, ""chunk_id"": ""01414b79f27d6f12e8dccaa251625c1133916854"", ""evidence_quote"": ""Carbon flows are different from the cycling that occurs when nutrients such as nitrogen, phosphorus, potassium and calcium are taken up from soil by plants, used and then returned to soil.""}]","Parameter: carbon cycling
Fact: Carbon flows are different from the cycling that occurs when nutrients such as nitrogen, phosphorus, potassium and calcium are taken up from soil by plants, used and then returned to soil.
Condition: None
Recommended action: None",9d00dd4392dd63c0f961a364177f022d88ecaa82
carbon_cycle,,carbon entry into field,definition,"Carbon enters the field as plants use atmospheric CO2 to carry out photosynthesis, providing the basis for all the various chemicals needed for their growth and reproduction.",,,,None,None,None,"Carbon enters the field as plants use atmospheric CO2 to carry out photosynthesis, providing the basis for all the various chemicals needed for their growth and reproduction.",0.99,/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf,Building-Soils-for-Better-Crops.pdf,108,108,,01414b79f27d6f12e8dccaa251625c1133916854,0.5819,"[{""source_name"": ""Building-Soils-for-Better-Crops.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/Building-Soils-for-Better-Crops.pdf"", ""page_start"": 108, ""page_end"": 108, ""chunk_id"": ""01414b79f27d6f12e8dccaa251625c1133916854"", ""evidence_quote"": ""Carbon enters the field as plants use atmospheric CO2 to carry out photosynthesis, providing the basis for all the various chemicals needed for their growth and reproduction.""}]","Parameter: carbon entry into field
Fact: Carbon enters the field as plants use atmospheric CO2 to carry out photosynthesis, providing the basis for all the various chemicals needed for their growth and reproduction.
Condition: None
Recommended action: None",df8722e0e949f2f04699cc43328ff429ebccc246
cassava,cassava,macronutrients,application_rate,Cassava responds well to fertilizer N with an expected yield increase of 50 kg of tubers or more per kilogram of N applied.,50.0,50.0,50.0,kg/tuber,N,apply,Cassava responds well to fertilizer N with an expected yield increase of 50 kg of tubers or more per kilogram of N applied.,0.98,/content/drive/MyDrive/Agronomy_Data_Source/a0443e.pdf,a0443e.pdf,271,271,,9dc714568b0dac38e84b39621cdc950d576ce868,0.7123,"[{""source_name"": ""a0443e.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/a0443e.pdf"", ""page_start"": 271, ""page_end"": 271, ""chunk_id"": ""9dc714568b0dac38e84b39621cdc950d576ce868"", ""evidence_quote"": ""Cassava responds well to fertilizer N with an expected yield increase of 50 kg of tubers or more per kilogram of N applied.""}]","Crop: cassava
Parameter: macronutrients
Fact: Cassava responds well to fertilizer N with an expected yield increase of 50 kg of tubers or more per kilogram of N applied.
Explicit range: 50 to 50 kg/tuber
Condition: N
Recommended action: apply",67bd7a9c5d9bbad4311539faabbc2214d8f99c6b
cassava,cassava,micronutrients,application_rate,Cassava requires a specific application rate of micronutrients.,900.0,900.0,900.0,g/ha,Fe,apply,Fe 900 (tubers only),0.98,/content/drive/MyDrive/Agronomy_Data_Source/a0443e.pdf,a0443e.pdf,271,271,,9dc714568b0dac38e84b39621cdc950d576ce868,0.7123,"[{""source_name"": ""a0443e.pdf"", ""source_file"": ""/content/drive/MyDrive/Agronomy_Data_Source/a0443e.pdf"", ""page_start"": 271, ""page_end"": 271, ""chunk_id"": ""9dc714568b0dac38e84b39621cdc950d576ce868"", ""evidence_quote"": ""Fe 900 (tubers only)""}]","Crop: cassava
Parameter: micronutrients
Fact: Cassava requires a specific application rate of micronutrients.
Explicit range: 900 to 900 g/ha
Condition: Fe
Recommended action: apply",bd232eab4191dd1d4f5a08c802b17f5a5258596b
